RCDTS,District Name/ School Name,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
480723230261002,Dunlap Valley Middle School,Dunlap,12.70,84,,,40.849129,-89.678566
030250500261001,Teutopolis Junior High School,Teutopolis,12.70,77.2,,,39.133737,-88.484246
190220580021015,O Neill Middle School,Downers Grove,12.70,72.3,,,41.780433,-88.000354
070161350022013,Meadow Ridge School,Orland Park,12.80,79.5,,,41.600756,-87.885487
310453010261001,Central Middle School,Burlington,12.80,75.7,,,42.014965,-88.485276
060160960021004,L J Hauser Jr High School,Riverside,12.80,72.9,,,41.829148,-87.820189
240471150262007,Grande Reserve Elem Sch,Yorkville,12.80,68.6,,,41.688,-88.4005
390740250260001,Monticello High School,Monticello,12.80,,65.8,22,40.01938,-88.571971
431020600260001,Roanoke-Benson High School,Roanoke,12.80,,64.1,20.9,40.800841,-89.198074
150162990252805,Decatur Classical Elem School,Chicago,12.90,99.3,,,42.009347,-87.704434
340490700022007,Adler Park School,Libertyville,12.90,81.9,,,42.303207,-87.958174
070161350022001,High Point Elem School,Orland Park,12.90,78.6,,,41.620372,-87.863096
431021400262005,Goodfield Elem School,Goodfield,13.00,87.8,,,40.630617,-89.275208
050160150041011,Plum Grove Jr High School,Rolling Meadows,13.00,82.8,,,42.083072,-88.043901
310451010222006,Louise White Elem School,Batavia,13.00,79.6,,,41.859221,-88.301513
340490950261002,Lake Zurich Middle - N Campus,Hawthorn Woods,13.00,78.5,,,42.225432,-88.092519
450670040262001,Parkview Elementary School,Columbia,13.00,76.6,,,38.447523,-90.21795
350501850042001,Waltham Elementary School,Utica,13.00,69.4,,,41.411149,-88.983235
190222050262005,Field Elem School,Elmhurst,13.10,88.4,,,41.906338,-87.931108
190222040262005,Robert Clow Elem Sch,Naperville,13.10,83.9,,,41.717327,-88.173731
240473080262011,Prairie Point Elem School,Oswego,13.10,77.8,,,41.676247,-88.346823
480723160042001,Limestone Walters Elem School,Peoria,13.10,75.6,,,40.656827,-89.724971
340490340042004,Oakland Elementary School,Lake Villa,13.10,72.3,,,42.442968,-88.06374
190220580022006,Indian Trail Elem School,Downers Grove,13.10,70.2,,,41.772494,-88.029341
440631540160001,Marengo High School,Marengo,13.10,,66,21.8,42.244326,-88.586148
050160540042008,Everett Dirksen Elementary Sch,Schaumburg,13.20,81.8,,,42.020967,-88.083201
340490950262005,May Whitney Elem School,Lake Zurich,13.20,81.5,,,42.199929,-88.088872
050160540042006,Winston Churchill Elem School,Schaumburg,13.30,80,,,42.054787,-88.099407
190222030261009,Lincoln Jr High School,Naperville,13.30,77.4,,,41.747009,-88.139402
340490960041003,Woodlawn Middle School,Long Grove,13.40,86.4,,,42.215382,-88.013918
050160540041012,Robert Frost JHS,Schaumburg,13.40,81.2,,,42.005059,-88.087378
190222030261011,Washington Jr High School,Naperville,13.40,78.3,,,41.777658,-88.14764
390550020260001,Maroa-Forsyth Senior High Sch,Maroa,13.40,,67.9,21.8,40.037183,-88.9629
480723220260004,Elmwood High School,Elmwood,13.40,,52.9,20.9,40.78115,-89.97
050160340041006,Attea Middle School,Glenview,13.50,83,,,42.087499,-87.819142
440630150042003,Landmark Elem School,McHenry,13.50,82.1,,,42.343169,-88.267971
560991140022001,Anna McDonald Elem School,Manhattan,13.50,77.7,,,41.4198,-87.9825
310451010222005,J B Nelson Elem School,Batavia,13.50,77.4,,,41.846422,-88.29857
150162990252953,Edison Park Elem School,Chicago,13.50,73.7,,,41.99444,-87.813605
130140010260001,Carlyle High School,Carlyle,13.50,,58.2,19.8,38.61902,-89.373055
190220630021001,Cass Jr High School,Darien,13.60,78,,,41.735027,-87.978031
510840150262004,Sherman Elem School,Sherman,13.60,69.1,,,39.892918,-89.599407
510840080261001,Pleasant Plains Middle School,Pleasant Plains,13.70,72,,,39.836024,-89.806044
