RCDTS,School,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
340490410042003,B J Hooper Elem School,Lindenhurst,20.00,68.8,,,42.407928,-88.023544
080892000260001,Pearl City High School,Pearl City,20.00,,67.1,21.2,42.267341,-89.829351
190222030262014,Scott Elementary School,Naperville,20.10,78.6,,,41.730824,-88.120268
480723090260003,Brimfield High School,Brimfield,20.10,,71.5,21.6,40.839141184,-89.884630863
050162140170008,Buffalo Grove High School,Buffalo Grove,20.10,,68.5,23.4,42.139099,-87.974125
190222000262001,Emerson Elem School,Wheaton,20.20,83.5,,,41.865355,-88.12461
390550030262006,Mt Zion Intermediate School,Mount Zion,20.20,79.5,,,39.770825,-88.874266
070161460042005,Walter F Fierke Ed Center,Oak Forest,20.20,72.7,,,41.609793,-87.779223
160194290262001,Hinckley-Big Rock Middle Sch,Big Rock,20.20,71.7,,,41.764882,-88.546234
530900520021001,Washington Middle School,Washington,20.20,69.2,,,40.716948,-89.407359
050160670022003,Hynes Elem School,Morton Grove,20.30,83.2,,,42.046432,-87.803308
340490950262006,Sarah Adams Elementary School,Lake Zurich,20.30,79.2,,,42.188186,-88.072565
500820900042003,J Emmett Hinchcliffe Sr Elem Sch,O Fallon,20.30,77.8,,,38.600573,-89.921617
310453030262003,Lincoln Elem School,St Charles,20.30,75.6,,,41.913015311,-88.30745521
060160950022002,Brook Park Elem School,La Grange Park,20.30,74.9,,,41.836828,-87.855549
350500790042001,Tonica Grade School,Tonica,20.30,73.9,,,41.220437,-89.057365
560992020222009,River View Elementary School,Plainfield,20.30,69.9,,,41.562537,-88.191357
190220120022004,Spring Hills Elem School,Roselle,20.30,67.3,,,41.9741,-88.0693
380652130260001,Athens Sr High School,Athens,20.30,,62.3,19.9,39.96158,-89.717734
041011310042003,Stone Creek School,Roscoe,20.40,82.6,,,42.429814,-88.971937
060160970022005,Oliver W Holmes Elem School,Oak Park,20.40,82.1,,,41.89484,-87.797667
240473080261004,Bednarcik Junior High School,Aurora,20.40,77.9,,,41.694522,-88.255745
190220410022001,Abraham Lincoln Elem School,Glen Ellyn,20.40,76.2,,,41.866732,-88.073488
500820900042002,Estelle Kampmeyer Elem School,O Fallon,20.40,73.7,,,38.597794,-89.904125
431021400262004,Congerville Elem School,Congerville,20.40,69,,,40.617274,-89.201508
240471150261001,Yorkville Middle School,Yorkville,20.40,59.4,,,41.65488,-88.449618
190220410021009,Hadley Junior High School,Glen Ellyn,20.50,79.6,,,41.881133,-88.079381
410570070261002,Lincoln Middle School,Edwardsville,20.50,74.9,,,38.810263,-89.96396
500820300032001,St Libory Elem School,Saint Libory,20.50,63,,,38.360273,-89.714945
560991220022008,Bentley Elem School,New Lenox,20.50,63,,,41.497785,-87.955052
160194290262002,Hinckley-Big Rock Elem Sch,Hinckley,20.60,78.5,,,41.768826,-88.648778
150162990252380,Ogden Elem School,Chicago,20.60,73.6,,,41.899935,-87.629275
390550030261001,Mt Zion Jr High School,Mount Zion,20.60,71,,,39.770813,-88.874338
310453000260004,Harry D Jacobs High School,Algonquin,20.60,,65.6,22,42.168367,-88.337773
150162990252104,Burley Elem School,Chicago,20.70,84.4,,,41.937904,-87.669377
410570070262003,Columbus Elem School,Edwardsville,20.70,77.5,,,38.815329,-89.955419
350502100042001,Milton Pope Elem School,Marseilles,20.70,65.2,,,41.397582,-88.633265
041012070160001,Hononegah High School,Rockton,20.70,,73.3,22.6,42.454646,-89.06626
170532300170001,Dwight High School,Dwight,20.70,,54.1,21.1,41.086073,-88.425758
060160970022008,Longfellow Elem School,Oak Park,20.80,79.8,,,41.876026,-87.781865
500821600042001,Millstadt Consolidated School,Millstadt,20.80,79.2,,,38.463238,-90.095384
340491120022003,Indian Trail Elem School,Highland Park,20.80,75.8,,,42.189683,-87.800252
560991590022002,Mokena Elem School,Mokena,20.80,53.7,,,41.531999,-87.890089
310451010222010,Hoover Wood Elem School,Batavia,20.90,77,,,41.829192,-88.284629
560991590022004,Mokena Intermediate School,Mokena,20.90,66.7,,,41.53346,-87.892045
190220930042010,Heritage Lakes Elem School,Carol Stream,21.00,80.2,,,41.933076,-88.154505
310453030262005,Munhall Elem School,St Charles,21.00,71.6,,,41.905240378,-88.294190884
500820900041003,Amelia V Carriel Jr High,O Fallon,21.00,66.6,,,38.604905,-89.892491
440630120261003,Johnsburg Jr High School,Johnsburg,21.10,70,,,42.382822,-88.24132
560992020222012,Ridge Elementary School,Plainfield,21.10,64.6,,,41.555954,-88.233472
190220450022001,Ardmore Elem School,Villa Park,21.20,81.4,,,41.884353,-87.983856
440630470042011,Glacier Ridge Elementary School,Crystal Lake,21.20,79.3,,,42.194615,-88.361986
510840050262006,Glenwood Elementary School,Chatham,21.20,71,,,39.678249051,-89.71396127
310451010222007,H C Storm Elem School,Batavia,21.20,69,,,41.853931,-88.321453
56099207U261002,Peotone Jr High School,Peotone,21.20,63.7,,,41.328554,-87.793678
390550030262005,Mt Zion Elem School,Mount Zion,21.30,81.8,,,39.774621,-88.880066
190222000260020,Wheaton Warrenville South H S,Wheaton,21.30,,71.1,23.4,41.83397,-88.14906
