RCDTS,School,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
070161480021002,Roosevelt Junior High School,Dolton,90.00,49.8,,,41.629822,-87.624665
150162990252154,Dett Elem School,Chicago,90.00,47.3,,,41.8839,-87.685438
150162990252966,Azuela Elementary School,Chicago,90.00,54.8,,,41.771073156,-87.739805977
320461110252011,Mark Twain Primary School,Kankakee,90.00,9.3,,,41.118911,-87.832287
041012050252062,Walker Elem School,Rockford,90.10,36.8,,,42.28691,-89.076808
150162990252134,Clinton Elem School,Chicago,90.10,55.6,,,41.992413,-87.698297
310450460222024,Laurel Hill Elem School,Hanover Park,90.10,48,,,42.002746,-88.14848
390550610252009,Benjamin Franklin Elem School,Decatur,90.10,28.2,,,39.868501,-88.988227
480721500252028,Roosevelt Magnet School,Peoria,90.10,24.8,,,40.687999,-89.619427
04101205025202C,Galapagos Rockford Charter Sch,Rockford,90.10,40.9,,,42.281058752,-89.127058792
150162990250617,Curie Metropolitan High School,Chicago,90.20,,32,17.6,41.803158,-87.722062
150162990250858,Mason High School,Chicago,90.20,,20.8,,41.856855,-87.730133
310450460222026,McKinley Elem School,Elgin,90.20,47.7,,,42.050283,-88.280102
070161480021004,Washington Junior High,Riverdale,90.30,27.2,,,41.642642,-87.629405
340490060022005,Shiloh Park Elem School,Zion,90.30,38,,,42.447289,-87.839085
150162990252254,Healy Elem School,Chicago,90.40,74.2,,,41.839755,-87.640257
150162990250044,Tilden Career Communty Academy HS,Chicago,90.50,,7.9,13.8,41.807811,-87.64302
150162990252892,Kellman Corporate Community Elem,Chicago,90.50,47.5,,,41.871577,-87.700937
310450460222029,Parkwood Elem School,Hanover Park,90.50,44.6,,,42.002567,-88.158178
310451310222008,G N Dieterich Elem School,Aurora,90.50,33,,,41.734137,-88.310436
150162990252737,McDowell Elem School,Chicago,90.60,53.3,,,41.733129,-87.589707
310451310222012,Rose E Krug Elem School,Aurora,90.60,29.3,,,41.7327,-88.322757
320461110252002,Aroma Park Primary School,Aroma Park,90.60,70.3,,,41.078605,-87.808424
070161440022010,Mae Jemison School,Hazel Crest,90.70,38.3,,,41.568204,-87.700904
150162990252133,Cleveland Elem School,Chicago,90.70,51.6,,,41.952111,-87.706181
150162990252232,Grimes Elem School,Chicago,90.80,58.8,,,41.775411,-87.757946
150162990252456,Shoesmith Elem School,Chicago,90.80,48.4,,,41.804226,-87.594249
310451310221004,Henry W Cowherd Middle School,Aurora,90.80,36.8,,,41.763818,-88.281564
060160890022008,Roosevelt Elem School,Broadview,90.90,38.9,,,41.869035,-87.850714
070161480022010,Park Elementary School,Riverdale,90.90,32.9,,,41.637134,-87.62696
090101160222004,M L King Jr Elem School,Urbana,90.90,39.3,,,40.120102,-88.22222
150162990252933,Durkin Park Elem School,Chicago,91.00,48.9,,,41.739361,-87.730022
310451310222009,John Gates Elem School,Aurora,91.00,33.5,,,41.741771,-88.301545
340492200262003,Sunny Hill Elem School,Carpentersville,91.00,48.9,,,42.132404,-88.253107
15016299025005C,North Lawndale Charter HS,Chicago,91.00,,20.7,16.7,41.858694,-87.707908
150162990252047,Morgan Elem School,Chicago,91.10,27.7,,,41.741143,-87.640117
150162990252180,Earle Elem School,Chicago,91.10,33.4,,,41.782559,-87.667852
340491870262010,Novak-King Sixth Grade Center,North Chicago,91.10,29.3,,,42.332255,-87.854723
150162990250036,Schurz High School,Chicago,91.20,,16.1,15.8,41.946319,-87.735615
150162990252965,West Ridge Elementary School,Chicago,91.20,52.9,,,42.002914949,-87.705896917
070161550022004,Wentworth Intermediate School,Calumet City,91.30,27.6,,,41.620718,-87.544429
070161700022012,Kennedy Elem School,Chicago Heights,91.30,40.5,,,41.512584,-87.664595
150162990250042,Sullivan High School,Chicago,91.40,,14.3,14.8,42.002264,-87.669188
150162990252090,Bradwell Comm Arts & Sci Elem Sch,Chicago,91.40,28.1,,,41.755493,-87.557109
150162990252252,Hayt Elem School,Chicago,91.40,61,,,41.994479,-87.668176
560990860052027,Isaac Singleton Elem Sch,Joliet,91.40,42,,,41.536680525,-88.046687497
15016299025003C,Perspectives Charter High School,Chicago,91.40,41.6,24.2,16.4,41.856035,-87.628439
56099365U262003,Bernard J Ward Elem School,Bolingbrook,91.40,48.8,,,41.694924,-88.057767
150162990252387,OToole Elem School,Chicago,91.50,34.4,,,41.774575,-87.675023
390550610252005,Durfee Elem School,Decatur,91.50,34.7,,,39.854763,-88.970235
070161435022010,Gordon School,Posen,91.60,57.9,,,41.63655,-87.686829
150162990252065,Banneker Elem School,Chicago,91.60,23.6,,,41.773047,-87.636885
150162990252811,Gunsaulus Scholastic Academy ES,Chicago,91.60,55.1,,,41.812922,-87.699282
060160990022004,Drexel Elem School,Cicero,91.70,31.8,,,41.827302,-87.758675
060160990022010,Woodrow Wilson Elem School,Cicero,91.70,32.7,,,41.848823,-87.766313
150162990252193,Evers Elem School,Chicago,91.70,45.9,,,41.715935,-87.639385
150162990252236,Gillespie Elem School,Chicago,91.70,38.1,,,41.725315,-87.623783
150162990252439,Songhai Learning Institute ES,Chicago,91.70,28.6,,,41.681202,-87.62514
150162990252935,North River Elem School,Chicago,91.70,46.6,,,41.962095,-87.707684
310451310222010,Nicholas A Hermes Elem School,Aurora,91.70,30.5,,,41.777118,-88.29378
310453000261001,Carpentersville Middle School,Carpentersville,91.70,40.9,,,42.108674,-88.281727
15016299025004C,Youth Connections Charter HS,Chicago,91.70,,6.6,14.2,41.831054,-87.62692
15016299025222C,Bronzeville Lighthouse Elem Chrtr,Chicago,91.70,39.4,,,41.819266,-87.626538
46009015026001C,Beardstown Charter Sch Learn Acad,Beardstown,91.70,,20,,40.017839,-90.423555
060160990022015,Columbus West Elementary School,Cicero,91.80,33.6,,,41.836399,-87.759883
070161510022002,Eisenhower School,South Holland,91.80,30.3,,,41.604434,-87.590167
070161560022001,Lincoln Elem School,Calumet City,91.80,34.3,,,41.610946,-87.535581
150162990250826,Raby High School,Chicago,91.80,,10.7,15.7,41.886294,-87.714556
150162990252070,Bateman Elem School,Chicago,91.80,53.2,,,41.958174,-87.702549
310451310221002,C F Simmons Middle School,Aurora,91.80,34,,,41.777684,-88.28731
150162990250015,Gage Park High School,Chicago,91.90,,7.5,15,41.791362,-87.688869
150162990250835,School of Social Justice HS,Chicago,91.90,,25.6,16.2,41.836116,-87.734069
150162990252509,West Pullman Elem School,Chicago,91.90,15.9,,,41.677121,-87.635847
510841860252028,McClernand Elem School,Springfield,91.90,39.5,,,39.809749,-89.647661
150162990250827,Clark Acad Prep Magnet HS,Chicago,92.00,43.5,15.5,16.4,41.872912,-87.753281
150162990250850,Chicago Technology Academy HS,Chicago,92.00,,15,15.2,41.863295297,-87.659031567
020771010262005,Meridian Elementary School,Mounds,92.10,24.5,,,37.13329,-89.171093
041012050251001,West Middle School,Rockford,92.10,27.8,,,42.293036,-89.096755
041012050252014,Barbour Two-Way Lang Immersion,Rockford,92.10,36.5,,,42.257329,-89.11495
070161545022001,Burnham Elem School,Burnham,92.10,35.2,,,41.64195,-87.541472
150162990250012,Fenger Academy High School,Chicago,92.10,,11.4,14.4,41.690193,-87.637511
150162990250830,World Language High School,Chicago,92.10,,23,16.5,41.836116,-87.734069
150162990252349,McPherson Elem School,Chicago,92.10,46.6,,,41.967496,-87.676184
150162990252388,Overton Elem School,Chicago,92.10,35.1,,,41.805679,-87.620744
310450460222022,Huff Elem School,Elgin,92.10,43.7,,,42.021936,-88.261831
310453000262022,Lakewood School,Carpentersville,92.10,37.3,,,42.111548,-88.258755
070161480022002,Riverdale School,Riverdale,92.20,37.7,,,41.637156,-87.62938
150162990250831,Douglass Academy High School,Chicago,92.20,,9.1,14.8,41.889953,-87.76761
310451310221003,K D Waldo Middle School,Aurora,92.30,31.8,,,41.752051,-88.307279
15016299025234C,KIPP Create Charter School,Chicago,92.30,34,,,41.892225326,-87.746638699
060160870022007,J W Riley Elem School,Northlake,92.40,27.3,,,41.904764,-87.903152
150162990252051,Addams Elem School,Chicago,92.40,59.7,,,41.698856,-87.532891
150162990252105,Burnham Elem Inclusive Academy,Chicago,92.40,61.5,,,41.720597,-87.577663
15016299025221C,Legacy Elem Charter School,Chicago,92.40,50.5,,,41.856855,-87.730133
060160890022005,Lexington Elem School,Maywood,92.50,29.4,,,41.869914,-87.837489
070161440022009,Chateaux School,Hazel Crest,92.50,38.8,,,41.564035,-87.701385
150162990252155,Chopin Elem School,Chicago,92.50,63.8,,,41.896685,-87.688127
150162990252226,Gray Elem School,Chicago,92.50,59.9,,,41.948774,-87.75703
150162990252512,Whistler Elem School,Chicago,92.50,35.8,,,41.684289,-87.655473
