RCDTS,School,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
130140620022001,Damiansville Elem School,Damiansville,31.50,86.5,,,38.510159,-89.622657
240320010262003,Coal City Elem School,Coal City,31.50,77.4,,,41.291129,-88.286676
190220930042004,Roy De Shane Elementary School,Carol Stream,31.50,72.6,,,41.921906,-88.135813
440630470042007,South Elem School,Crystal Lake,31.50,71.8,,,42.227656,-88.341805
430590070260001,Midland High School,Varna,31.50,,63.4,20.4,41.026675,-89.290864
160194240260001,Genoa-Kingston High School,Genoa,31.60,,43.8,19.2,42.101373,-88.687345
240322010042005,Jones Elementary School,Joliet,31.70,74.7,,,41.535183,-88.268349
150162990252172,Drummond Elem School,Chicago,31.70,70.4,,,41.915735,-87.674481
090100070261005,Unity Jr High School,Tolono,31.70,61.5,,,39.994323,-88.250878
070161460042002,Bert H Fulton School,Tinley Park,31.80,71.7,,,41.580607,-87.780375
041013220261001,Durand Jr High School,Durand,31.80,60.7,,,42.433488,-89.333425
080892030262003,Orangeville Elem School,Orangeville,31.80,57,,,42.466664,-89.645388
560990860052003,Eisenhower Academy,Joliet,31.90,92,,,41.517706,-88.035651
390740050261001,Bement Middle School,Bement,31.90,52.5,,,39.921943,-88.568628
010010040261001,Unity Middle School,Mendon,31.90,49.4,,,40.088134,-91.290406
400560060260001,Staunton High School,Staunton,31.90,,59.6,20.7,39.020471,-89.794496
510840110262001,Pawnee Grade School,Pawnee,32.00,72.8,,,39.592632,-89.57698
110230040262001,Crestwood Elem School,Paris,32.00,68,,,39.60647,-87.673931
070161460041001,Central Middle School,Tinley Park,32.00,62.5,,,41.561074,-87.78389
400421000260001,Jersey Comm High School,Jerseyville,32.00,55.1,54.9,20.5,39.125287,-90.331233
440631560160002,McHenry  East High School,McHenry,32.00,,53.6,20.7,42.341339,-88.267268
080892000262001,Pearl City Elementary School,Pearl City,32.10,73.9,,,42.2673,-89.829296
24032002C022001,Mazon-Verona-Kinsman Elem School,Mazon,32.10,73.1,,,41.240852629,-88.431419875
550980010262003,Erie Elem School,Erie,32.10,67.3,,,41.65244,-90.07768
310450460222054,Liberty Elem School,Bartlett,32.10,66.1,,,41.990458,-88.215034
280372280262004,Northside Elem School,Geneseo,32.20,70,,,41.457239,-90.152947
190220440021009,Glenn Westlake Middle School,Lombard,32.20,69.3,,,41.854242,-88.017067
160194250262001,Waterman Elem School,Waterman,32.20,63.7,,,41.770764,-88.771082
041013230261002,Winnebago Middle School,Winnebago,32.20,58.4,,,42.268939,-89.241481
090270100261002,Paxton-Buckley-Loda Jr High Sch,Paxton,32.20,52.7,,,40.459077,-88.093657
190220870170002,Glenbard North High School,Carol Stream,32.20,,59.2,21.7,41.929476,-88.140152
070161460042006,Arnold W Kruse Ed Center,Orland Park,32.30,75.1,,,41.611269,-87.805705
24032002C021002,Mazon-Verona-Kinsman Middle Sch,Mazon,32.30,63.7,,,41.23985,-88.431881
170530740270001,Flanagan-Cornell High School,Flanagan,32.30,,48.6,20.7,40.863137,-88.909807
050160590042003,Clearmont Elem School,Elk Grove Village,32.40,70.4,,,41.999241,-87.98942
060160860022001,Union Ridge Elem School,Harwood Heights,32.40,69.9,,,41.964762,-87.797698
190220930041004,Stratford Middle School,Bloomingdale,32.40,68.3,,,41.945012,-88.106855
530900850022001,Robein Elem School,East Peoria,32.40,51.8,,,40.687354,-89.508755
170530900170001,Pontiac High School,Pontiac,32.40,,53.3,18.9,40.888425,-88.618928
540920760260001,Oakwood High School,Fithian,32.40,,49.3,19.1,40.113839,-87.828366
390550090260001,Sangamon Valley High School,Niantic,32.40,,40.9,18.8,39.856868,-89.161113
050160540042011,Anne Fox Elem School,Hanover Park,32.50,73.4,,,42.009379,-88.134734
050162190170003,Niles West High School,Skokie,32.50,,62.9,21.9,42.026355,-87.770716
56099255U260001,Reed-Custer High School,Braidwood,32.50,,57.5,20.2,41.259863,-88.207681
110703020262001,Okaw Valley Elementary School,Bethany,32.60,72.4,,,39.647575,-88.739401
431021400262003,Davenport Elem School,Eureka,32.60,71.3,,,40.719208,-89.272861
220290020261001,V I T Jr High School,Table Grove,32.60,38.3,,,40.360711,-90.425362
250412040170001,Webber Twp High School,Bluford,32.60,,47.1,19.9,38.326864,-88.745311
190220480022002,Stella May Swartz Elem School,Oakbrook Terrace,32.70,82.4,,,41.853671,-87.961939
490810400222026,Jane Addams Elementary School,Moline,32.70,70.3,,,41.475409,-90.46157
490811000262007,Riverdale Elem School,Port Byron,32.70,68.5,,,41.614049,-90.268054
150162990252337,Mayer Elem School,Chicago,32.70,67.9,,,41.922611,-87.657177
070161530022002,Winston Churchill School,Homewood,32.70,62.9,,,41.545187,-87.646764
500820850022001,Shiloh Elementary School,Shiloh,32.80,69.1,,,38.556372,-89.899233
190222050261002,Churchville Middle School,Elmhurst,32.80,67,,,41.926477,-87.939093
280060920022001,Cherry Grade School,Cherry,32.80,65.3,,,41.427018,-89.212995
340490010022002,Westfield  School,Winthrop Harbor,32.80,60,,,42.477676,-87.830648
470522200022001,Steward Elementary School,Steward,32.80,59.3,,,41.847690098,-89.020010936
460092620260002,A-C Central High School,Ashland,32.80,,59.4,19.4,39.892187,-90.016057
430785350260002,Putnam County High School,Granville,32.90,,47.4,19.2,41.264837,-89.23058
200300070260001,Gallatin High School,Junction,32.90,,41.7,17.6,37.730535,-88.239489
350501700041001,Seneca Elem School South Campus,Seneca,33.00,68.3,,,41.309086,-88.607945
041013230262005,Jean McNair Elementary School,Winnebago,33.00,64.7,,,42.27243,-89.238168
040042000262004,Poplar Grove Elem School,Poplar Grove,33.00,63,,,42.368579,-88.822107
330482100260001,Williamsfield High School,Williamsfield,33.00,,50,18.4,40.926695,-90.023102
020440010260001,Goreville High School,Goreville,33.00,,42.2,19.1,37.555852,-88.979091
080892010262003,Dakota Elementary School,Dakota,33.10,70.1,,,42.38448,-89.530448
510840010261001,Tri-City Jr High School,Buffalo,33.10,56.6,,,39.851255,-89.413199
400560010260002,Carlinville High School,Carlinville,33.10,,64.8,21.7,39.279667,-89.890368
380601910260001,Midwest Central High School,Manito,33.10,,50.6,19.3,40.417898,-89.782741
490812000262003,Matherville Intermediate School,Matherville,33.20,66.4,,,41.26462,-90.606138
170640050262004,Carlock Elem School,Carlock,33.30,74.3,,,40.582304,-89.130851
130950490042002,Nashville Grade School,Nashville,33.30,62.8,,,38.33734,-89.376182
170640050261003,Parkside Jr High School,Normal,33.30,61.8,,,40.509837,-89.021044
160194300262006,Prairie View Elem School,Sandwich,33.30,61.5,,,41.657928,-88.628324
390550110261002,Warrensburg-Latham Middle Sch,Warrensburg,33.30,59.9,,,39.933139524,-89.05704795
080892030260001,Orangeville High School,Orangeville,33.30,,45.3,19.7,42.467927,-89.642514
410570100262022,Maryville Elem School,Maryville,33.40,68,,,38.724959,-89.968013
160194300261001,Sandwich Middle School,Sandwich,33.40,58.6,,,41.64054,-88.620196
170640160260009,Olympia High School,Stanford,33.40,,58.6,20.8,40.396194,-89.245833
240473080261003,Thompson Jr High School,Oswego,33.50,67.4,,,41.695388,-88.33516
56099030C042007,Troy Hofer Elem Sch,Shorewood,33.50,64.4,,,41.540051,-88.212798
050160650042023,Kingsley Elementary School,Evanston,33.60,76,,,42.05909,-87.694543
310450460222051,Spring Trail Elementary School,Carol Stream,33.60,75.8,,,41.939402,-88.168919
050160210042010,Edgar A Poe Elem School,Arlington Heights,33.60,64.1,,,42.126017,-87.985071
390550150261001,Meridian Middle School,Blue Mound,33.60,57.3,,,39.695201,-89.121232
440630470042009,Indian Prairie Elem School,Crystal Lake,33.70,78.9,,,42.193348,-88.343403
280372260262002,Annawan Grade School,Annawan,33.70,68.8,,,41.394091,-89.911398
080432050260001,Warren Jr/Sr High School,Warren,33.70,66.3,58.3,18.5,42.494626,-89.989459
240473080262015,Southbury Elem School,Oswego,33.70,59.9,,,41.681149,-88.326735
350500650042001,Ransom Grade School,Ransom,33.70,56.3,,,41.154112,-88.654129
470712200260001,Oregon High School,Oregon,33.70,,53.1,20,42.013726,-89.340591
431020110261001,El Paso-Gridley Jr High School,Gridley,33.80,63.5,,,40.742252,-88.884806
280372250260001,AlWood  Middle/High School,Woodhull,33.80,58,58.6,18.8,41.180616,-90.312204
050162190170002,Niles North High School,Skokie,33.80,,57.9,21.7,42.059691,-87.752693
510841860250002,Springfield High School,Springfield,33.80,,57,20.8,39.801649,-89.659842
160194300262004,W W Woodbury Elem School,Sandwich,33.90,74.2,,,41.648343,-88.61828
070161530022006,Millennium School,Homewood,33.90,70.2,,,41.558905,-87.643551
130140120042002,Beckemeyer Elem School,Beckemeyer,33.90,68,,,38.605785882,-89.431898695
510840100262004,Auburn Middle School,Auburn,33.90,64.8,,,39.595846,-89.748606
190220110022001,Medinah Intermediate School,Medinah,33.90,59.9,,,41.983145,-88.051445
041011220222010,Ralston Elem School,Machesney Park,33.90,55.9,,,42.368911,-89.046925
320460050260005,Manteno High School,Manteno,33.90,,59.7,19.9,41.255444,-87.838765
560990910022001,Milne Grove Elem School,Lockport,34.00,66.1,,,41.588715,-88.047888
430785350261001,Putnam County Jr High School,Mc Nabb,34.00,60.7,,,41.163536173,-89.224648834
450791380262002,Steeleville Elem School,Steeleville,34.00,60.7,,,38.0032,-89.658655
380601890260001,Illini Central High School,Mason City,34.00,,50,18.7,40.203546,-89.706717
100680020260001,Lincolnwood High School,Raymond,34.00,,42.5,20.3,39.325015,-89.571783
470712310042005,Tilton Elem School,Rochelle,34.10,75.7,,,41.930676,-89.071379
041013220262001,Durand Elem School,Durand,34.10,74.6,,,42.433488,-89.333425
070162290160001,Oak Lawn Comm High School,Oak Lawn,34.10,,50,19.8,41.7213,-87.7672
070161420022004,Kerkstra Elem School,Oak Forest,34.20,80.5,,,41.620384,-87.746839
050160150042018,Willow Bend Elem School,Rolling Meadows,34.20,79.4,,,42.062295,-88.019288
050160260021006,River Trails Middle School,Mt Prospect,34.20,74.2,,,42.065968262,-87.934645686
440630260042004,Three Oaks School,Cary,34.20,64.8,,,42.220776,-88.229545
500821050022002,William Holliday Elem School,Fairview Heights,34.20,62.4,,,38.58256,-89.975765
260343280240001,Hamilton Jr/Sr High Sch,Hamilton,34.20,43,50,21,40.395729,-91.345303
430785350262004,Putnam County Elem School,Hennepin,34.30,71.9,,,41.25015,-89.343225
110213010261004,East Prairie Middle School,Tuscola,34.30,67,,,39.796350666,-88.273287038
190220110021003,Medinah Middle School,Roselle,34.30,66,,,41.985828,-88.063815
110213050262003,Arthur Elem School,Arthur,34.30,64.6,,,39.713401,-88.471995
130580100042003,Selmaville Elem School,Salem,34.30,56.6,,,38.589069,-88.999917
120130100260002,Clay City High School,Clay City,34.30,,63,18.5,38.683737,-88.351531
080083080260001,Eastland High School,Lanark,34.30,,54.5,20.3,42.097107,-89.830214
040042000260003,North Boone High School,Poplar Grove,34.30,,45.6,19,42.417716,-88.821589
160194240262005,Genoa Elementary School,Genoa,34.40,64.9,,,42.093172,-88.685241
070161460042003,Memorial Elem School,Tinley Park,34.40,64.6,,,41.565911,-87.781589
170640870252013,Washington Elem School,Bloomington,34.50,69.6,,,40.479899,-88.975357
090100070262006,Unity West,Tolono,34.50,67.7,,,39.966767,-88.268114
200240010262001,Albion Grade School,Albion,34.50,59.6,,,38.376977,-88.066064
550980060260001,Morrison High School,Morrison,34.50,,68.4,20.7,41.800069,-89.969271
110150010260001,Charleston High School,Charleston,34.50,,58.7,21.4,39.484444,-88.164917
460690270262002,Triopia Grade School,Concord,34.60,69.4,,,39.840975,-90.371955
050160735021003,Oliver McCracken Middle School,Skokie,34.70,79.8,,,42.026266,-87.725819
130950100262003,Okawville Grade School,Okawville,34.70,71,,,38.427552334,-89.5486152
050160735022002,John Middleton Elem School,Skokie,34.70,70.3,,,42.031802,-87.715852
431020060260001,Fieldcrest High School,Minonk,34.70,,61.3,19.6,40.901907,-89.028265
400310100260001,Greenfield High School,Greenfield,34.70,,45.6,19.9,39.343426,-90.209106
160194280262012,Malta Elementary School,Malta,34.80,69.4,,,41.934332,-88.862152
490812000261001,Sherrard Jr High School,Sherrard,34.80,64.8,,,41.340936,-90.50537
470522750261001,Ashton-Franklin Cntr Middle Sch,Franklin Grove,34.80,63.8,,,41.840334,-89.296427
050162070170004,Maine West High School,Des Plaines,34.80,,60.5,20.6,42.020613,-87.908963
430590050260001,Henry-Senachwine High School,Henry,34.80,,51.4,19.9,41.115233,-89.367894
070161450021001,Arbor Park Middle School,Oak Forest,34.90,55.1,,,41.579999,-87.755513
280063030260001,La Moille High School,La Moille,34.90,,44.7,19.5,41.495268,-89.259093
050160650042009,Lincoln Elem School,Evanston,35.00,72.2,,,42.034142,-87.67486
010010020262002,Liberty Elementary School,Liberty,35.00,63.8,,,39.888037,-91.107025
350501410022005,McKinley Elem School,Ottawa,35.00,60.9,,,41.325126,-88.839682
480722650261001,Farmington Central Jr High Sch,Farmington,35.00,58.1,,,40.699805,-89.986504
310450460220005,South Elgin High School,South Elgin,35.00,,59.2,20.4,42.000612,-88.279668
170640160262003,Olympia North Elem Sch,Danvers,35.10,81.8,,,40.529551,-89.171769
490810290022001,Hampton Elem School,Hampton,35.10,73.3,,,41.555129,-90.413467
431020110262001,Centennial School,El Paso,35.10,71.6,,,40.743539,-89.018485
130140120042001,Breese Elem School,Breese,35.10,69.9,,,38.612906,-89.516838
160194300262007,Herman E Dummer,Sandwich,35.10,66.2,,,41.642155,-88.620222
070161420021001,Jack Hille Middle School,Oak Forest,35.10,63.6,,,41.617525,-87.761091
050160650042024,Dr Bessie Rhodes Magnet Sch,Skokie,35.20,80.1,,,42.046167,-87.720487
190222040262018,Mary Lou Cowlishaw Elementary,Naperville,35.20,79.9,,,41.752155,-88.194395
550980010261002,Erie Middle School,Erie,35.20,68.6,,,41.650424,-90.077691
080083990261001,Chadwick Junior High School,Chadwick,35.20,66.7,,,42.010931,-89.883789
56099365U262011,Jamie McGee Elementary School,Bolingbrook,35.20,66.5,,,41.699964,-88.113577
020910160042001,Lick Creek Elem School,Buncombe,35.20,52.7,,,37.493553,-89.019785
390740390260001,Atwood Hammond High School,Atwood,35.20,,40.3,18.8,39.803046,-88.463646
530907030262001,Delavan Elementary School,Delavan,35.30,66.8,,,40.335306,-89.489802
080083080262003,Eastland Middle School,Shannon,35.30,64.9,,,42.148897,-89.740734
170640050261005,Evans Junior High School,Bloomington,35.30,63.9,,,40.470496373,-88.94328272
350501240021001,Parkside Middle School,Peru,35.30,61.5,,,41.336431,-89.138446
120170030260001,Palestine High School,Palestine,35.30,,65.7,19.9,39.002901,-87.612748
410570050262005,Grantfork Upper Elementary Sch,Highland,35.50,87.5,,,38.831429,-89.664995
030250300262002,Dieterich Elem School,Dieterich,35.50,76.1,,,39.062915,-88.381264
550980020261002,River Bend Middle School,Fulton,35.50,67.4,,,41.871763,-90.15453
060160940022001,Komarek Elem School,North Riverside,35.50,64.3,,,41.845973,-87.846381
56099255U261001,Reed-Custer Middle School,Braidwood,35.50,57.9,,,41.258292,-88.20762
280372270260002,Cambridge Jr/Sr High School,Cambridge,35.50,55.6,57.7,18.8,41.299501,-90.198896
080432100260002,River Ridge High School,Hanover,35.50,,60.9,22.5,42.310759,-90.274154
350501200170001,La Salle-Peru Twp High School,La Salle,35.50,,55.2,19.8,41.332229,-89.104553
470522720260001,Amboy High School,Amboy,35.50,,54.1,20.7,41.72045,-89.332135
220290970260001,Lewistown High School,Lewistown,35.50,,37.3,19.4,40.40984,-90.154263
270664040262003,Mercer County Intermediate School,Aledo,35.60,66.4,,,41.196801,-90.759929
340491180261003,Wauconda Middle School,Wauconda,35.60,62.1,,,42.260924,-88.146088
56099255U262001,Reed-Custer Intermediate School,Braidwood,35.60,53.4,,,41.263439,-88.222042
530907030260001,Delavan High School,Delavan,35.60,,57.7,19.8,40.335306,-89.489802
050160210041002,Cooper Middle School,Buffalo Grove,35.70,73.1,,,42.149212,-87.982921
431020110262002,Jefferson Park School,El Paso,35.70,67.3,,,40.741433,-89.020207
100110010260002,Morrisonville High School,Morrisonville,35.70,,54,18.9,39.421535,-89.458269
070161420022003,Lee R Foster Elem School,Oak Forest,35.80,67.7,,,41.614516,-87.763916
310450460222053,Nature Ridge Elem School,Bartlett,35.80,67,,,41.991952,-88.247654
440632000262004,Greenwood Elem School,Woodstock,35.80,62,,,42.393392,-88.388729
110703020261001,Okaw Valley Middle School,Findlay,35.80,55.2,,,39.521709,-88.757697
530907030261001,Delavan Jr High School,Delavan,35.80,48.1,,,40.335306,-89.489802
310450460220004,Bartlett High School,Bartlett,35.80,,64.8,21.2,41.951099,-88.206426
400560090260001,Southwestern High School,Piasa,35.80,,53.4,19.8,39.118974,-90.140258
150162990252383,Onahan Elem School,Chicago,35.90,73.5,,,41.993701,-87.792991
540920010262001,Bismarck-Henning Elem School,Bismarck,35.90,67.9,,,40.264005,-87.608737
150162990250794,Northside College Preparatory Hs,Chicago,35.90,,99,30.1,41.981326,-87.708789
110703000260004,Sullivan High School,Sullivan,35.90,,61.8,20.3,39.60544,-88.6075
270664040260001,Mercer County High School,Aledo,35.90,,55.2,19.5,41.189294,-90.751449
080431200221001,Galena Middle School,Galena,36.00,63.5,,,42.427656,-90.43994
380540610042001,Chester-East Lincoln Elem School,Lincoln,36.00,55.9,,,40.135996,-89.348295
270943040260001,United High School,Monmouth,36.00,,61.3,19.8,40.90941,-90.592814
220290040260001,Spoon River Valley Sr High Sch,London Mills,36.00,,59.6,20.7,40.701886,-90.155888
010011720222016,Monroe Elementary School,Quincy,36.10,73,,,39.897292,-91.366234
