RCDTS,School,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
020910810160001,Anna-Jonesboro High School,Anna,40.00,,50.5,19,37.456667,-89.254871
030250200260001,Beecher City Jr-Sr High School,Beecher City,40.00,59.6,51.8,18.6,39.187148,-88.793005
320380030260001,Donovan Sr High School,Donovan,40.00,,50,19.3,40.884983,-87.613761
350500020260001,Serena High School,Serena,40.00,,60.2,19.3,41.487627,-88.730823
170200150260001,Clinton High School,Clinton,40.10,,53,19.7,40.147452,-88.972991
190222010260001,Westmont High School,Westmont,40.10,,60.6,20.2,41.819317,-87.964991
220850050260001,Rushville-Industry High School,Rushville,40.10,,43.5,18.8,40.127872,-90.563485
400560080260001,Bunker Hill High School,Bunker Hill,40.10,,64.1,20.6,39.040671,-89.960002
080431190221001,East Dubuque Jr High,East Dubuque,40.20,68.8,,,42.499699246,-90.624958565
120170020260001,Robinson High School,Robinson,40.20,,53.5,21.2,39.017759,-87.73879
400070400260001,Calhoun High School,Hardin,40.20,,57.3,21.2,39.176791,-90.614241
190220600022002,Maercker Elem School,Westmont,40.30,69.5,,,41.782057,-87.974842
200970050260001,Carmi-White County High School,Carmi,40.30,,43.4,18.8,38.084196,-88.169717
470522720262003,Amboy Central Elem School,Amboy,40.30,67.3,,,41.716832,-89.33371
510840140260001,Riverton High School,Riverton,40.30,,50,19,39.851418,-89.544947
090270100262005,PBL Eastlawn,Paxton,40.40,60,,,40.459051,-88.093618
110150010262004,Jefferson Elem School,Charleston,40.40,67.4,,,39.497051,-88.173894
190220680022004,Willow Creek Elem School,Woodridge,40.40,73,,,41.774383,-88.054688
220290020260001,V I T Sr High School,Table Grove,40.40,,43.2,20,40.360711,-90.425362
270664040262001,Apollo Elem School,Aledo,40.40,66,,,41.194537,-90.758091
310453030262006,Richmond Intermediate Sch,Saint Charles,40.40,59.8,,,41.910066183,-88.328690636
540922250170001,Armstrong High School,Armstrong,40.40,,47.3,18.7,40.3059,-87.8801
050160630022011,Melzer School,Morton Grove,40.50,72.1,,,42.052018,-87.815798
280063030262004,Allen Junior High School,La Moille,40.50,45.2,,,41.495268,-89.259093
280372240260001,Galva Jr-Sr High School,Galva,40.50,58.3,55.7,21,41.174679,-90.044792
390550610252011,Garfield Montessori School,Decatur,40.50,60,,,39.815847,-88.957639
500820090262002,Lebanon Elem School,Lebanon,40.50,48.7,,,38.599602,-89.810002
56099030C041001,Troy Middle School,Plainfield,40.50,54.6,,,41.550325,-88.228756
090100070262007,Unity East,Philo,40.60,64.4,,,40.025643,-88.154553
150162990252417,Ray Elem School,Chicago,40.60,64.4,,,41.792723,-87.594803
490810400222011,Benjamin Franklin Elem School,Moline,40.60,63.6,,,41.501804,-90.463917
550980060261001,Morrison Jr High School,Morrison,40.60,68.1,,,41.80116,-89.966541
190222040261007,Fischer Middle School,Aurora,40.70,63.1,,,41.736271,-88.246233
530903030160002,Pekin Community High School,Pekin,40.70,,51.8,19.9,40.560224,-89.621193
56099030C042003,Troy Craughwell School,Joliet,40.70,56.5,,,41.536495,-88.158594
440632000260009,Woodstock North High School,Woodstock,40.80,,49.1,19.5,42.36911,-88.424491
050160650041012,Nichols Middle School,Evanston,40.90,74.2,,,42.037497,-87.682053
130140030262004,St George Elem School,New Baden,40.90,64.2,,,38.537552,-89.696875
430590070261001,Midland Middle School,Sparland,40.90,69.9,,,41.031327,-89.466534
440630150041007,Parkland School,McHenry,40.90,60.9,,,42.354602,-88.306362
500820600261001,New Athens Jr High,New Athens,40.90,51.6,,,38.317215,-89.86799
550980020262005,Fulton Elem School,Fulton,40.90,67.8,,,41.86954,-90.152852
170200150261002,Clinton Jr High School,Clinton,41.00,45.4,,,40.152432,-88.970741
280061150021001,Logan Jr High School,Princeton,41.00,55.9,,,41.3753,-89.469136
050160540042018,Lakeview Elem School,Hoffman Estates,41.10,71.7,,,42.03936,-88.095654
070161250022004,Meadow Lane School,Merrionette Park,41.10,37.1,,,41.678137,-87.69734
