RCDTS,School,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
050160210042013,Booth Tarkington Elem School,Wheeling,50.00,64.2,,,42.13377,-87.950785
070161110022007,F B Mccord Elem School,Burbank,50.00,46.2,,,41.738276,-87.784725
150162990250862,Chicago Excel Acad,Chicago,50.00,,0.6,,41.692190519,-87.65373244
190220070022003,Westview Elem School,Wood Dale,50.00,54.9,,,41.960003,-87.989824
250410120042001,McClellan Elementary School,Mount Vernon,50.00,64.9,,,38.264102,-88.948323
280063030262003,Van Orin Elem School,Van Orin,50.00,26.2,,,41.551726,-89.355839
280881000261001,Stark County Junior High School,Toulon,50.00,62.1,,,41.096760789,-89.864400684
380540270022004,Central Elem School,Lincoln,50.00,59.2,,,40.149119,-89.367943
400560020261001,Northwestern Jr High School,Palmyra,50.00,70.8,,,39.423378,-89.995882
010011720221003,Quincy Jr High School,Quincy,50.10,45.1,,,39.931787,-91.393653
090100040262017,Robeson Elem School,Champaign,50.20,56.1,,,40.091436,-88.286307
100110080260006,Pana Sr High School,Pana,50.20,,55.1,18.8,39.382496,-89.088755
260621700261002,Bushnell-Prairie City Jr High Sch,Bushnell,50.20,51,,,40.558783,-90.511985
480720660022001,Bartonville Elem School,Bartonville,50.20,51,,,40.650183,-89.651972
041012050252018,Brookview Elem School,Rockford,50.30,64.2,,,42.28843,-89.014263
050160590041012,Holmes Jr High School,Mt Prospect,50.30,60.8,,,42.051656365,-87.965912378
050160650042019,Walker Elem School,Evanston,50.30,71.7,,,42.048073,-87.718055
100680220262003,North Elem School,Nokomis,50.30,50,,,39.304265,-89.288746
170640870252012,Stevenson Elem School,Bloomington,50.30,74.2,,,40.493284,-88.946358
200830030260001,Harrisburg High School,Harrisburg,50.30,,45.7,19.5,37.728506,-88.545787
440632000262006,Westwood Elem School,Woodstock,50.30,53.2,,,42.302345,-88.475139
460860010262002,Winchester Elem School,Winchester,50.30,57.8,,,39.625322,-90.460493
11012004C260001,Casey-Westfield High School,Casey,50.30,,47.5,20.9,39.304522,-87.989452
170534290042004,Lincoln Elementary School,Pontiac,50.40,64,,,40.874488,-88.628567
410570110260001,Alton High School,Alton,50.40,,42.8,18.3,38.936416,-90.159775
04101205025203C,CICS Rockford Patriots,Rockford,50.40,18.4,,,42.269809491,-89.073550838
17053006J262005,Tri Point Elementary School,Kempton,50.40,43.5,,,40.75331,-88.187992
