ZipCode,FY11Total,FY13Total,Chge11num,PChg2011,Chg2011,PChg2011
62531,"$295,741 ","$299,212 ",3471,1.2,"$3,471.00",1.20%
60644,"$10,533,946 ","$10,676,425 ",142479,1.4,"$142,479.00",1.40%
60827,"$10,675,134 ","$10,827,964 ",152830,1.4,"$152,830.00",1.40%
62376,"$155,203 ","$158,195 ",2992,1.9,"$2,992.00",1.90%
60633,"$3,214,679 ","$3,276,053 ",61374,1.9,"$61,374.00",1.90%
60643,"$11,675,229 ","$11,906,528 ",231299,2,"$231,299.00",2.00%
62271,"$458,593 ","$470,323 ",11730,2.6,"$11,730.00",2.60%
62053,"$123,763 ","$127,050 ",3287,2.7,"$3,287.00",2.70%
60649,"$13,567,013 ","$13,971,120 ",404107,3,"$404,107.00",3.00%
62539,"$198,689 ","$204,928 ",6239,3.1,"$6,239.00",3.10%
62080,"$365,557 ","$377,216 ",11659,3.2,"$11,659.00",3.20%
61412,"$96,317 ","$99,590 ",3273,3.4,"$3,273.00",3.40%
60619,"$29,023,814 ","$30,001,684 ",977870,3.4,"$977,870.00",3.40%
60155,"$3,198,654 ","$3,311,005 ",112351,3.5,"$112,351.00",3.50%
60607,"$6,396,370 ","$6,620,695 ",224325,3.5,"$224,325.00",3.50%
60012,"$182,481 ","$189,062 ",6581,3.6,"$6,581.00",3.60%
62340,"$222,933 ","$231,584 ",8651,3.9,"$8,651.00",3.90%
62206,"$4,565,024 ","$4,745,006 ",179982,3.9,"$179,982.00",3.90%
60153,"$5,690,755 ","$5,917,228 ",226473,4,"$226,473.00",4.00%
61911,"$195,422 ","$204,738 ",9316,4.8,"$9,316.00",4.80%
60302,"$11,929,846 ","$12,527,444 ",597598,5,"$597,598.00",5.00%
61330,"$307,059 ","$322,865 ",15806,5.1,"$15,806.00",5.10%
60109,"$261,689 ","$275,606 ",13917,5.3,"$13,917.00",5.30%
62970,"$210,230 ","$221,695 ",11465,5.5,"$11,465.00",5.50%
62063,"$149,171 ","$157,369 ",8198,5.5,"$8,198.00",5.50%
61254,"$1,738,546 ","$1,833,719 ",95173,5.5,"$95,173.00",5.50%
62983,"$128,800 ","$136,108 ",7308,5.7,"$7,308.00",5.70%
61760,"$362,176 ","$383,464 ",21288,5.9,"$21,288.00",5.90%
