GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:
1500000US170310101001,170310101001,"Block Group 1, Census Tract 101, Cook County, Illinois",211,137
1500000US170310101002,170310101002,"Block Group 2, Census Tract 101, Cook County, Illinois",405,196
1500000US170310101003,170310101003,"Block Group 3, Census Tract 101, Cook County, Illinois",1612,444
1500000US170310102011,170310102011,"Block Group 1, Census Tract 102.01, Cook County, Illinois",981,507
1500000US170310102012,170310102012,"Block Group 2, Census Tract 102.01, Cook County, Illinois",1930,526
1500000US170310102013,170310102013,"Block Group 3, Census Tract 102.01, Cook County, Illinois",379,162
1500000US170310102021,170310102021,"Block Group 1, Census Tract 102.02, Cook County, Illinois",681,336
1500000US170310102022,170310102022,"Block Group 2, Census Tract 102.02, Cook County, Illinois",485,187
1500000US170310103001,170310103001,"Block Group 1, Census Tract 103, Cook County, Illinois",662,290
1500000US170310103002,170310103002,"Block Group 2, Census Tract 103, Cook County, Illinois",1205,366
1500000US170310103003,170310103003,"Block Group 3, Census Tract 103, Cook County, Illinois",918,238
1500000US170310103004,170310103004,"Block Group 4, Census Tract 103, Cook County, Illinois",696,271
1500000US170310104001,170310104001,"Block Group 1, Census Tract 104, Cook County, Illinois",1170,313
1500000US170310104002,170310104002,"Block Group 2, Census Tract 104, Cook County, Illinois",553,129
1500000US170310104003,170310104003,"Block Group 3, Census Tract 104, Cook County, Illinois",1806,291
1500000US170310105011,170310105011,"Block Group 1, Census Tract 105.01, Cook County, Illinois",898,308
1500000US170310105012,170310105012,"Block Group 2, Census Tract 105.01, Cook County, Illinois",692,198
1500000US170310105013,170310105013,"Block Group 3, Census Tract 105.01, Cook County, Illinois",934,281
1500000US170310105021,170310105021,"Block Group 1, Census Tract 105.02, Cook County, Illinois",685,228
1500000US170310105022,170310105022,"Block Group 2, Census Tract 105.02, Cook County, Illinois",1502,432
1500000US170310105031,170310105031,"Block Group 1, Census Tract 105.03, Cook County, Illinois",1091,332
1500000US170310105032,170310105032,"Block Group 2, Census Tract 105.03, Cook County, Illinois",543,258
1500000US170310106001,170310106001,"Block Group 1, Census Tract 106, Cook County, Illinois",1667,568
1500000US170310106002,170310106002,"Block Group 2, Census Tract 106, Cook County, Illinois",436,221
1500000US170310106003,170310106003,"Block Group 3, Census Tract 106, Cook County, Illinois",1079,241
1500000US170310106004,170310106004,"Block Group 4, Census Tract 106, Cook County, Illinois",1224,358
1500000US170310107011,170310107011,"Block Group 1, Census Tract 107.01, Cook County, Illinois",1460,452
1500000US170310107012,170310107012,"Block Group 2, Census Tract 107.01, Cook County, Illinois",1184,279
1500000US170310107021,170310107021,"Block Group 1, Census Tract 107.02, Cook County, Illinois",961,365
1500000US170310107022,170310107022,"Block Group 2, Census Tract 107.02, Cook County, Illinois",1119,638
1500000US170310107023,170310107023,"Block Group 3, Census Tract 107.02, Cook County, Illinois",873,304
1500000US170310107024,170310107024,"Block Group 4, Census Tract 107.02, Cook County, Illinois",251,145
1500000US170310201001,170310201001,"Block Group 1, Census Tract 201, Cook County, Illinois",1382,359
1500000US170310201002,170310201002,"Block Group 2, Census Tract 201, Cook County, Illinois",528,172
1500000US170310202001,170310202001,"Block Group 1, Census Tract 202, Cook County, Illinois",1238,424
1500000US170310202002,170310202002,"Block Group 2, Census Tract 202, Cook County, Illinois",1111,568
1500000US170310202003,170310202003,"Block Group 3, Census Tract 202, Cook County, Illinois",1525,435
1500000US170310202004,170310202004,"Block Group 4, Census Tract 202, Cook County, Illinois",767,264
1500000US170310203011,170310203011,"Block Group 1, Census Tract 203.01, Cook County, Illinois",1331,285
1500000US170310203012,170310203012,"Block Group 2, Census Tract 203.01, Cook County, Illinois",1144,334
1500000US170310203013,170310203013,"Block Group 3, Census Tract 203.01, Cook County, Illinois",1925,357
1500000US170310203021,170310203021,"Block Group 1, Census Tract 203.02, Cook County, Illinois",534,181
1500000US170310203022,170310203022,"Block Group 2, Census Tract 203.02, Cook County, Illinois",643,304
1500000US170310203023,170310203023,"Block Group 3, Census Tract 203.02, Cook County, Illinois",1905,501
1500000US170310204001,170310204001,"Block Group 1, Census Tract 204, Cook County, Illinois",449,143
1500000US170310204002,170310204002,"Block Group 2, Census Tract 204, Cook County, Illinois",1013,323
1500000US170310204003,170310204003,"Block Group 3, Census Tract 204, Cook County, Illinois",1054,293
1500000US170310205001,170310205001,"Block Group 1, Census Tract 205, Cook County, Illinois",1475,533
1500000US170310205002,170310205002,"Block Group 2, Census Tract 205, Cook County, Illinois",254,125
1500000US170310205003,170310205003,"Block Group 3, Census Tract 205, Cook County, Illinois",646,330
1500000US170310205004,170310205004,"Block Group 4, Census Tract 205, Cook County, Illinois",410,255
1500000US170310206011,170310206011,"Block Group 1, Census Tract 206.01, Cook County, Illinois",1619,737
1500000US170310206012,170310206012,"Block Group 2, Census Tract 206.01, Cook County, Illinois",2082,582
1500000US170310206013,170310206013,"Block Group 3, Census Tract 206.01, Cook County, Illinois",716,337
