CensusTract,County,POP2010,OHU2010,lapophalf,lapophalfshare,lahunvhalf,lahunvhalfshare,lakidshalf,lakidshalfshare,lalowihalf,lalowihalfshare,laseniorshalf,laseniorshalfshare,LILATracts_1And10
17031440202,Cook,"2,999","1,579","2,022.90",67.5%,424.29,26.9%,318.50,65.1%,"1,191.33",39.7%,628.75,75.3%,0
17031825801,Cook,"3,550","1,480","2,386.00",67.2%,138.58,9.4%,606.07,63.7%,"1,024.19",28.9%,300.55,77.7%,0
17031640600,Cook,"3,912","1,595","2,617.96",66.9%,151.90,9.5%,669.41,74.7%,"1,058.09",27.0%,279.78,57.6%,0
17097861301,Lake,"5,181","1,875","3,429.43",66.2%,100.48,5.4%,922.34,63.3%,917.57,17.7%,233.20,72.9%,1
17097861803,Lake,"6,903","2,312","4,549.80",65.9%,160.19,6.9%,"1,301.06",64.7%,"1,829.82",26.5%,364.42,65.2%,0
17031260600,Cook,"2,478",745,"1,624.14",65.5%,190.65,25.6%,520.36,65.1%,"1,104.37",44.6%,176.07,67.2%,0
17031711400,Cook,"2,654",868,"1,717.09",64.7%,162.51,18.7%,428.53,63.6%,607.69,22.9%,303.81,65.3%,0
17097862300,Lake,"3,033",906,"1,945.87",64.2%,240.84,26.6%,655.46,62.4%,"1,478.04",48.7%,136.37,69.2%,0
17031360200,Cook,"1,443",602,910.83,63.1%,190.96,31.7%,370.05,73.4%,706.50,49.0%,37.40,47.3%,0
17031841100,Cook,"7,254","2,621","4,577.52",63.1%,490.69,18.7%,835.87,65.7%,"2,759.30",38.0%,702.19,54.9%,0
17031260400,Cook,"1,271",410,798.51,62.8%,111.80,27.3%,236.05,63.8%,576.95,45.4%,86.87,62.5%,0
17031770602,Cook,"4,956","1,566","3,100.93",62.6%,177.99,11.4%,858.15,66.8%,"1,490.57",30.1%,275.46,40.2%,0
17031242600,Cook,"5,831","2,502","3,596.92",61.7%,368.19,14.7%,744.45,65.5%,"1,533.59",26.3%,245.64,53.6%,0
17031660800,Cook,"5,865","1,801","3,613.44",61.6%,292.07,16.2%,"1,151.85",62.4%,"2,134.45",36.4%,284.46,67.6%,0
17031808702,Cook,"5,504",465,"3,367.21",61.2%,102.79,22.1%,106.37,87.9%,999.68,18.2%,111.55,65.2%,0
17031750600,Cook,"3,681","1,268","2,231.20",60.6%,133.58,10.5%,570.10,63.0%,928.24,25.2%,400.33,60.6%,0
17031680600,Cook,"1,431",421,840.14,58.7%,111.21,26.4%,267.06,57.8%,655.00,45.8%,84.93,62.0%,0
17031829100,Cook,"4,144","1,255","2,402.93",58.0%,177.29,14.1%,803.76,58.6%,"1,443.73",34.8%,183.85,55.9%,0
17031842100,Cook,"6,731","1,986","3,874.45",57.6%,423.29,21.3%,"1,095.13",55.9%,"2,046.77",30.4%,356.35,65.9%,0
17097866100,Lake,"3,556","1,024","2,031.41",57.1%,117.41,11.5%,668.24,57.8%,"1,050.18",29.5%,142.11,47.1%,0
17031611900,Cook,"2,045",604,"1,132.23",55.4%,162.63,26.9%,420.43,54.5%,849.34,41.5%,78.74,61.0%,0
17031750100,Cook,"4,147","1,434","2,286.71",55.1%,136.39,9.5%,654.00,66.3%,"1,442.00",34.8%,357.73,41.7%,0
17031290900,Cook,"4,530","1,460","2,477.50",54.7%,345.62,23.7%,802.01,52.7%,"1,776.60",39.2%,229.86,59.5%,0
17031827400,Cook,"4,298","1,491","2,347.42",54.6%,193.77,13.0%,606.98,53.6%,"1,482.08",34.5%,359.76,50.0%,0
17031660600,Cook,"6,333","1,864","3,378.44",53.3%,375.59,20.1%,"1,093.71",52.0%,"1,749.80",27.6%,179.27,59.2%,0
17031380100,Cook,"1,924",979,"1,018.47",52.9%,191.12,19.5%,239.16,63.3%,495.64,25.8%,118.62,31.5%,0
17031530501,Cook,"5,402","1,611","2,740.67",50.7%,149.62,9.3%,765.00,47.0%,"1,159.85",21.5%,360.56,56.7%,0
17031804510,Cook,"6,145","1,401","3,115.67",50.7%,100.29,7.2%,"1,127.85",54.1%,"1,749.45",28.5%,115.44,34.5%,0
17031816800,Cook,"5,368","1,944","2,634.04",49.1%,101.10,5.2%,607.52,47.0%,805.23,15.0%,472.97,62.0%,0
17031140500,Cook,"3,679","1,217","1,757.90",47.8%,117.97,9.7%,436.96,47.5%,585.99,15.9%,114.34,39.8%,0
17031430700,Cook,"2,210","1,090","1,050.04",47.5%,214.77,19.7%,174.17,43.9%,568.02,25.7%,109.77,28.7%,0
17031730201,Cook,"5,941","2,350","2,797.18",47.1%,403.96,17.2%,654.23,48.2%,"1,323.58",22.3%,432.27,43.2%,0
17031817200,Cook,"4,684","1,511","2,121.21",45.3%,129.85,8.6%,579.41,44.0%,"1,062.52",22.7%,282.86,48.6%,0
17031231500,Cook,"6,039","1,973","2,722.85",45.1%,295.22,15.0%,844.51,47.8%,"1,970.97",32.6%,317.65,42.9%,0
17031510300,Cook,"5,360","1,979","2,392.95",44.6%,117.49,5.9%,612.95,45.0%,"1,108.48",20.7%,377.90,42.8%,0
17031843600,Cook,"2,807","1,169","1,218.57",43.4%,272.46,23.3%,335.16,43.2%,799.67,28.5%,129.74,48.1%,0
17031440102,Cook,"3,127","1,500","1,337.21",42.8%,290.09,19.3%,295.68,42.2%,751.85,24.0%,166.92,46.5%,0
17031430101,Cook,"3,689","1,609","1,497.29",40.6%,293.73,18.3%,368.36,36.9%,"1,017.29",27.6%,110.97,36.9%,0
17031681200,Cook,"2,716",891,"1,072.82",39.5%,192.10,21.6%,356.04,40.8%,921.20,33.9%,78.53,32.3%,0
17031671500,Cook,"3,221",928,"1,240.71",38.5%,104.17,11.2%,393.56,40.3%,978.07,30.4%,136.45,34.5%,0
17031140400,Cook,"6,805","2,197","2,501.69",36.8%,229.29,10.4%,656.45,38.7%,964.61,14.2%,303.92,37.9%,0
17031490902,Cook,"5,086","1,910","1,852.01",36.4%,206.95,10.8%,475.39,38.4%,584.22,11.5%,275.20,28.7%,0
17031826000,Cook,"3,334","1,070","1,156.04",34.7%,101.96,9.5%,399.92,34.5%,536.59,16.1%,73.59,41.3%,0
17031826600,Cook,"5,540","1,883","1,885.71",34.0%,112.44,6.0%,594.66,35.9%,912.45,16.5%,108.44,22.5%,0
17031841500,Cook,"2,962",895,991.35,33.5%,154.52,17.3%,375.75,32.2%,758.28,25.6%,80.64,42.2%,0
17031430200,Cook,"4,680","2,291","1,475.55",31.5%,383.27,16.7%,369.31,31.8%,748.15,16.0%,213.42,34.4%,0
17031839700,Cook,"4,326","1,714","1,351.46",31.2%,168.51,9.8%,308.71,32.3%,679.87,15.7%,122.66,30.4%,0
17031010300,Cook,"6,236","2,826","1,920.16",30.8%,275.37,9.7%,212.39,22.3%,778.70,12.5%,292.17,33.1%,0
17031440201,Cook,"5,060","2,382","1,504.96",29.7%,276.53,11.6%,330.22,28.5%,749.00,14.8%,213.64,29.2%,0
17031836400,Cook,"2,979","1,393",879.99,29.5%,131.56,9.4%,270.04,32.4%,389.70,13.1%,41.66,11.8%,0
17031680900,Cook,"4,019","1,662","1,169.79",29.1%,270.96,16.3%,255.22,21.1%,653.93,16.3%,279.45,53.2%,0
17031030300,Cook,"3,322","1,393",965.66,29.1%,133.38,9.6%,154.69,22.6%,452.26,13.6%,236.19,55.3%,0
17031390400,Cook,"2,934","1,478",811.87,27.7%,174.79,11.8%,141.18,22.7%,483.16,16.5%,222.72,34.4%,0
17031400800,Cook,"2,701","1,066",699.97,25.9%,141.54,13.3%,273.68,28.8%,626.48,23.2%,43.05,21.2%,0
17031821200,Cook,"6,003","2,181","1,440.44",24.0%,120.73,5.5%,404.44,23.5%,476.97,7.9%,133.35,26.1%,0
17031834900,Cook,"2,272",790,509.00,22.4%,110.07,13.9%,164.00,23.4%,467.61,20.6%,60.00,17.8%,0
17031010100,Cook,"4,854","2,302","1,085.35",22.4%,172.02,7.5%,137.18,13.0%,398.22,8.2%,90.98,32.8%,0
17031460100,Cook,"3,405","1,278",709.61,20.8%,124.21,9.7%,148.17,15.6%,386.01,11.3%,71.36,21.2%,0
17031063000,Cook,"2,973","1,724",559.43,18.8%,152.44,8.8%,32.24,16.0%,160.21,5.4%,13.80,14.8%,0
17031251400,Cook,"3,983","1,526",653.51,16.4%,108.40,7.1%,129.55,12.9%,326.99,8.2%,180.14,33.4%,0
