contbr_zip,sum_Sanders,count_Sanders,sum_Clinton,count_Clinton,Clint_sumDif,Clint_countDif,sum_Trump,count_Trump,sum_Cruz,count_Cruz,sum_rubio,count_rubio,sum_Kasich,count_Kasich
60173,"$2,500.00",4,"$3,500.00",3,"$1,000.00",-1 ,,,,,,,,
60174,"$3,861.80",48,"$5,779.78",16,"$1,917.98",-32 ,,,$737.00,13,"$8,835.00",11,,
60175,"$4,357.36",70,"$7,112.10",17,"$2,754.74",-53 ,"$1,084.56",2,"$3,945.00",37,"$1,150.00",5,"$2,700.00",1
60177,$453.65,8,$295.77,12,-$157.88,4 ,,,$320.00,3,,,"$2,700.00",1
60181,"$2,042.94",17,"$5,555.00",37,"$3,512.06",20 ,$600.00,2,$280.00,5,"$5,400.00",2,,
60184,,,"$5,400.00",2,,,,,"$1,228.00",8,$175.00,7,"$5,400.00",2
60185,"$2,036.06",21,$929.90,29,"-$1,106.16",8 ,,,$650.00,14,,,,
60187,"$1,821.27",21,$538.00,20,"-$1,283.27",-1 ,,,"$4,000.00",22,$950.00,7,,
60188,"$1,122.04",23,$500.00,1,-$622.04,-22 ,,,$330.00,8,,,,
60189,"$9,181.27",73,"$3,360.00",9,"-$5,821.27",-64 ,,,"$2,260.00",20,"$2,960.00",10,$50.00,1
60190,$970.00,19,,,,,,,$315.00,6,,,"$1,000.00",1
60191,$200.00,2,$475.00,7,$275.00,5 ,,,,,$624.00,4,,
60192,,,"$2,500.00",1,,,,,$865.00,13,$250.00,1,,
60193,"$2,007.64",63,"$8,175.00",5,"$6,167.36",-58 ,,,"$1,095.00",12,"$5,400.00",5,$750.00,2
60194,$599.50,2,,,,,$200.00,2,,,,,,
60195,$400.00,2,,,,,,,$472.00,5,,,,
60502,$943.56,15,"$1,186.55",28,$242.99,13 ,,,$250.00,1,$770.05,9,,
60503,$20.00,1,,,,,,,$350.00,3,,,,
60504,"$1,459.97",43,,,,,$100.00,1,$200.00,1,$75.00,3,,
60510,$725.00,5,$566.65,18,-$158.35,13 ,,,"$1,803.00",29,,,$250.00,1
60523,$792.53,2,"$29,150.00",27,"$28,357.47",25 ,,,"$1,617.00",13,"$1,127.00",10,,
60532,"$2,025.30",36,"$4,310.31",23,"$2,285.01",-13 ,,,"$2,875.00",17,$750.00,2,$50.00,1
60540,"$8,203.82",106,"$16,082.78",20,"$7,878.96",-86 ,$250.00,1,"$1,890.00",13,"$5,850.00",7,$500.00,1
60542,$781.85,12,"$2,943.84",4,"$2,161.99",-8 ,,,,,$458.00,18,,
60554,$792.00,16,,,,,$431.42,2,"$1,105.00",19,"$5,600.00",8,$75.00,2
60555,"$1,055.77",28,$750.00,2,-$305.77,-26 ,$328.64,2,$908.00,13,"$2,689.00",16,,
60563,"$2,206.82",42,"$8,400.00",9,"$6,193.18",-33 ,$209.69,1,$275.00,4,$700.00,12,,
60564,"$10,360.53",103,"$5,129.69",79,"-$5,230.84",-24 ,$250.00,1,"$1,445.00",12,,,"$2,400.00",2
60565,"$2,105.00",37,"$5,122.61",49,"$3,017.61",12 ,$563.49,3,"$1,085.00",12,$350.00,2,,
totals,"$158,329.05","2,303 ","$340,973.67","1,085 ","$182,644.62","-1,218 ","$9,669.70",42 ,"$103,394.26",963 ,"$163,036.10",391 ,"$57,575.00",45 
Mean,"$2,004.17",29.2 ,"$5,089.16",16.2 ,"$3,084.99",-13.0 ,$483.49,2.1 ,"$1,543.20",14.4 ,"$3,196.79",7.7 ,"$2,303.00",1.8 
Median,"$1,425.66",22.0,"$2,664.00",9.0,"$1,238.34",-13.0 ,$314.32,2.0,$790.00,12.0,$770.05,5.0,"$2,000.00",1.0
